2025-06-22 06:11:45,865 - Stacked MNIST parameter setting
2025-06-22 06:11:45,865 - Epoch : 1000, batch size : 256, r1 lambda : 1, r2 lambda : 1, 
2025-06-22 06:11:45,865 - ################ Training Start ################
2025-06-22 06:18:12,647 - Epoch [0], train G_Loss: 29.4799, train D_Loss: 213.0290, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0155
2025-06-22 06:24:38,734 - Epoch [1], train G_Loss: 0.1841, train D_Loss: 43766.3456, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0109
2025-06-22 06:31:05,239 - Epoch [2], train G_Loss: 0.5967, train D_Loss: 469.8740, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0099
2025-06-22 06:37:44,718 - Epoch [3], train G_Loss: 1.3274, train D_Loss: 225.3400, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0095
2025-06-22 06:44:12,338 - Epoch [4], train G_Loss: 2.3204, train D_Loss: 76.9542, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0093
2025-06-22 06:50:37,898 - Epoch [5], train G_Loss: 3.7397, train D_Loss: 18.5419, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0092
2025-06-22 06:57:03,782 - Epoch [6], train G_Loss: 5.4095, train D_Loss: 2.7602, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0091
2025-06-22 07:03:35,613 - Epoch [7], train G_Loss: 17.4838, train D_Loss: 31.5744, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0091
2025-06-22 07:10:01,547 - Epoch [8], train G_Loss: 9.1137, train D_Loss: 0.4298, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0090
2025-06-22 07:16:27,523 - Epoch [9], train G_Loss: 9.0090, train D_Loss: 2.1914, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0090
2025-06-22 07:22:53,728 - Epoch [10], train G_Loss: 160.7379, train D_Loss: 1260.3112, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 07:29:20,000 - Epoch [11], train G_Loss: 109.0604, train D_Loss: 17.8415, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 07:35:46,128 - Epoch [12], train G_Loss: 47.6576, train D_Loss: 32.2140, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 07:42:12,132 - Epoch [13], train G_Loss: 13.8265, train D_Loss: 2.0671, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 07:48:38,648 - Epoch [14], train G_Loss: 261.0782, train D_Loss: 57540.1213, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 07:55:04,854 - Epoch [15], train G_Loss: 71.7990, train D_Loss: 344.2660, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 08:01:30,790 - Epoch [16], train G_Loss: 411.3670, train D_Loss: 31519.8294, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0089
2025-06-22 08:07:56,961 - Epoch [17], train G_Loss: 69.9206, train D_Loss: 163.1680, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:14:22,862 - Epoch [18], train G_Loss: 88.8316, train D_Loss: 33623.8374, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:20:48,296 - Epoch [19], train G_Loss: 56.3958, train D_Loss: 212.1111, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:27:14,087 - Epoch [20], train G_Loss: 23.3661, train D_Loss: 7.5932, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:33:39,356 - Epoch [21], train G_Loss: 42.2567, train D_Loss: 12119.6078, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:40:11,462 - Epoch [22], train G_Loss: 66.0270, train D_Loss: 344.2361, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:46:36,892 - Epoch [23], train G_Loss: 173.3675, train D_Loss: 33441.4839, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:53:02,502 - Epoch [24], train G_Loss: 164.3423, train D_Loss: 157.6893, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 08:59:28,312 - Epoch [25], train G_Loss: 384.2878, train D_Loss: 10967.7745, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:05:54,256 - Epoch [26], train G_Loss: 189.3524, train D_Loss: 914.6210, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:12:20,094 - Epoch [27], train G_Loss: 608.8796, train D_Loss: 54969.7979, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:18:45,671 - Epoch [28], train G_Loss: 741.3032, train D_Loss: 84903.5728, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:25:12,343 - Epoch [29], train G_Loss: 365.1829, train D_Loss: 4429.3867, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:31:37,650 - Epoch [30], train G_Loss: 112.9881, train D_Loss: 417.6033, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:38:03,339 - Epoch [31], train G_Loss: 244.8677, train D_Loss: 152394.0369, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:44:28,455 - Epoch [32], train G_Loss: 2252.5277, train D_Loss: 2386972.2020, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:50:53,974 - Epoch [33], train G_Loss: 304.5821, train D_Loss: 79996.1370, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 09:57:19,850 - Epoch [34], train G_Loss: 1677.0026, train D_Loss: 477063.8070, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:03:45,748 - Epoch [35], train G_Loss: 188.1970, train D_Loss: 4505.0601, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:10:11,733 - Epoch [36], train G_Loss: 1740.3120, train D_Loss: 861153.4654, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:16:37,534 - Epoch [37], train G_Loss: 689.1395, train D_Loss: 339035.0978, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:23:03,397 - Epoch [38], train G_Loss: 401.4428, train D_Loss: 652303.3240, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:29:29,540 - Epoch [39], train G_Loss: 826.9810, train D_Loss: 449183.0338, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:35:54,977 - Epoch [40], train G_Loss: 763.7943, train D_Loss: 1128161.9451, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:42:20,885 - Epoch [41], train G_Loss: 1393.7017, train D_Loss: 777077.1716, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:48:46,822 - Epoch [42], train G_Loss: 1234.0501, train D_Loss: 1037615.5816, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 10:55:12,619 - Epoch [43], train G_Loss: 850.1296, train D_Loss: 3918111.1738, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:01:38,551 - Epoch [44], train G_Loss: 1587.6321, train D_Loss: 1144456.0363, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:08:04,695 - Epoch [45], train G_Loss: 2648.3274, train D_Loss: 5844139.0230, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:14:30,201 - Epoch [46], train G_Loss: 5324.2943, train D_Loss: 3200513.1791, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:20:56,049 - Epoch [47], train G_Loss: 1520.3193, train D_Loss: 8926408.5862, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:27:21,808 - Epoch [48], train G_Loss: 2107.4011, train D_Loss: 2295147.6558, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:33:47,201 - Epoch [49], train G_Loss: 4571.6253, train D_Loss: 31055796.5693, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:40:13,061 - Epoch [50], train G_Loss: 2642.0296, train D_Loss: 21706045.5096, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:46:38,900 - Epoch [51], train G_Loss: 5236.4977, train D_Loss: 8395354.6062, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:53:04,896 - Epoch [52], train G_Loss: 1053.7809, train D_Loss: 12944639.5785, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 11:59:30,611 - Epoch [53], train G_Loss: 1319.3086, train D_Loss: 5283339.3606, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:05:56,168 - Epoch [54], train G_Loss: 3866.2342, train D_Loss: 9279286.3598, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:12:22,032 - Epoch [55], train G_Loss: 2247.7797, train D_Loss: 10421938.6775, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:18:48,394 - Epoch [56], train G_Loss: 1692.3359, train D_Loss: 17479546.4503, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:25:14,140 - Epoch [57], train G_Loss: 3714.7181, train D_Loss: 6242828.6843, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:31:39,973 - Epoch [58], train G_Loss: 3997.3480, train D_Loss: 1236076.9665, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:38:05,994 - Epoch [59], train G_Loss: 3690.1355, train D_Loss: 5722572.9503, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
2025-06-22 12:44:31,873 - Epoch [60], train G_Loss: 0.0156, train D_Loss: 13895067.5056, FID: 471.6392, Mode Coverage: 8.0000, KL : 0.0088
